"","bodyid","name","type"
"1",792364888,"Z_vPNml1(noAL+SEZ)_R","Z_vPNml1"
"2",698565676,"Z_vPNml1(noAL+SEZ)_R","Z_lvPNm1"
"3",698569832,"Z_vPNml1(noAL+SEZ)_R","Z_lvPNm1"
"4",729608317,"Z_vPNml1(noAL+SEZ)_R","Z_lvPNm1"
"5",1734705201,"AL-AST1_R","AL-AST1"
"6",1734696656,"AL-AST1_L","AL-AST1"
"7",608922563,"AL-MBDL1_R","AL-MBDL1"
"8",1670969318,"ALBN1_R","ALBN1"
"9",1731354634,"ALBN1_L","ALBN1"
"10",1826121523,"ALIN2_R","ALIN2"
"11",693927941,"ALIN1_R","ALIN1"
"12",704699661,"ALIN1_R","ALIN1"
"13",735091236,"ALIN3_R","ALIN3"
"14",1036504644,"ALIN3_R","ALIN3"
